Acquisition_Date_2,Subscription_Date_2,Country,TotalUsers,CohortPeriod
2015-01,2015-01,All,141.0,1
2015-01,2015-01,Country 1,141.0,1
2015-01,2015-02,All,111.0,2
2015-01,2015-02,Country 1,111.0,2
2015-01,2015-03,All,141.0,3
2015-01,2015-03,Country 1,141.0,3
2015-01,2015-04,All,117.0,4
2015-01,2015-04,Country 1,117.0,4
2015-01,2015-05,All,141.0,5
2015-01,2015-05,Country 1,141.0,5
2015-01,2015-06,All,117.0,6
2015-01,2015-06,Country 1,117.0,6
2015-01,2015-07,All,141.0,7
2015-01,2015-07,Country 1,141.0,7
2015-01,2015-08,All,141.0,8
2015-01,2015-08,Country 1,141.0,8
2015-01,2015-09,All,117.0,9
2015-01,2015-09,Country 1,117.0,9
2015-01,2015-10,All,135.0,10
2015-01,2015-10,Country 1,135.0,10
2015-01,2015-11,All,107.0,11
2015-01,2015-11,Country 1,107.0,11
2015-01,2015-12,All,122.0,12
2015-01,2015-12,Country 1,122.0,12
2015-01,2016-01,All,115.0,13
2015-01,2016-01,Country 1,115.0,13
2015-01,2016-02,All,92.0,14
2015-01,2016-02,Country 1,92.0,14
2015-01,2016-03,All,54.0,15
2015-01,2016-03,Country 1,54.0,15
2015-02,2015-02,All,80.0,1
2015-02,2015-02,Country 1,80.0,1
2015-02,2015-03,All,80.0,2
2015-02,2015-03,Country 1,80.0,2
2015-02,2015-04,All,80.0,3
2015-02,2015-04,Country 1,80.0,3
2015-02,2015-05,All,80.0,4
2015-02,2015-05,Country 1,80.0,4
2015-02,2015-06,All,80.0,5
2015-02,2015-06,Country 1,80.0,5
2015-02,2015-07,All,80.0,6
2015-02,2015-07,Country 1,80.0,6
2015-02,2015-08,All,80.0,7
2015-02,2015-08,Country 1,80.0,7
2015-02,2015-09,All,79.0,8
2015-02,2015-09,Country 1,79.0,8
2015-02,2015-10,All,72.0,9
2015-02,2015-10,Country 1,72.0,9
2015-02,2015-11,All,59.0,10
2015-02,2015-11,Country 1,59.0,10
2015-02,2015-12,All,56.0,11
2015-02,2015-12,Country 1,56.0,11
2015-02,2016-01,All,55.0,12
2015-02,2016-01,Country 1,55.0,12
2015-02,2016-02,All,55.0,13
2015-02,2016-02,Country 1,55.0,13
2015-02,2016-03,All,16.0,14
2015-02,2016-03,Country 1,16.0,14
2015-03,2015-03,All,147.0,1
