Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
2.0,All,59,14.0,546,3,1,1,311
2.0,Country 1,59,14.0,546,3,1,1,311
3.0,All,48,14.0,546,3,1,1,311
3.0,Country 1,48,14.0,546,3,1,1,311
4.0,All,12,15.0,585,1,1,1,111
4.0,Country 1,12,15.0,585,1,1,1,111
5.0,All,12,15.0,585,1,1,1,111
5.0,Country 1,12,15.0,585,1,1,1,111
6.0,All,12,15.0,585,1,1,1,111
6.0,Country 1,12,15.0,585,1,1,1,111
7.0,All,12,15.0,585,1,1,1,111
7.0,Country 1,12,15.0,585,1,1,1,111
8.0,All,12,15.0,585,1,1,1,111
8.0,Country 1,12,15.0,585,1,1,1,111
9.0,All,12,15.0,585,1,1,1,111
9.0,Country 1,12,15.0,585,1,1,1,111
10.0,All,12,15.0,585,1,1,1,111
10.0,Country 1,12,15.0,585,1,1,1,111
11.0,All,12,15.0,585,1,1,1,111
11.0,Country 1,12,15.0,585,1,1,1,111
12.0,All,12,15.0,1335,1,1,1,111
12.0,Country 1,12,15.0,1335,1,1,1,111
13.0,All,12,15.0,1335,1,1,1,111
13.0,Country 1,12,15.0,1335,1,1,1,111
14.0,All,12,15.0,1335,1,1,1,111
14.0,Country 1,12,15.0,1335,1,1,1,111
15.0,All,12,15.0,635,1,1,1,111
15.0,Country 1,12,15.0,635,1,1,1,111
16.0,All,12,15.0,1335,1,1,1,111
16.0,Country 1,12,15.0,1335,1,1,1,111
17.0,All,12,15.0,1335,1,1,1,111
17.0,Country 1,12,15.0,1335,1,1,1,111
18.0,All,12,15.0,1335,1,1,1,111
18.0,Country 1,12,15.0,1335,1,1,1,111
19.0,All,12,15.0,635,1,1,1,111
19.0,Country 1,12,15.0,635,1,1,1,111
20.0,All,12,15.0,1485,1,1,1,111
20.0,Country 1,12,15.0,1485,1,1,1,111
21.0,All,12,15.0,1485,1,1,1,111
21.0,Country 1,12,15.0,1485,1,1,1,111
22.0,All,12,15.0,645,1,1,1,111
22.0,Country 1,12,15.0,645,1,1,1,111
23.0,All,12,15.0,1485,1,1,1,111
23.0,Country 1,12,15.0,1485,1,1,1,111
24.0,All,40,14.0,546,3,1,1,311
24.0,Country 1,40,14.0,546,3,1,1,311
25.0,All,40,14.0,546,3,1,1,311
25.0,Country 1,40,14.0,546,3,1,1,311
26.0,All,40,14.0,546,3,1,1,311
26.0,Country 1,40,14.0,546,3,1,1,311
27.0,All,40,14.0,546,3,1,1,311
27.0,Country 1,40,14.0,546,3,1,1,311
28.0,All,40,14.0,546,3,1,1,311
28.0,Country 1,40,14.0,546,3,1,1,311
29.0,All,40,14.0,546,3,1,1,311
29.0,Country 1,40,14.0,546,3,1,1,311
30.0,All,40,14.0,546,3,1,1,311
30.0,Country 1,40,14.0,546,3,1,1,311
31.0,All,40,14.0,546,3,1,1,311
31.0,Country 1,40,14.0,546,3,1,1,311
32.0,All,40,14.0,546,3,1,1,311
32.0,Country 1,40,14.0,546,3,1,1,311
33.0,All,40,14.0,546,3,1,1,311
33.0,Country 1,40,14.0,546,3,1,1,311
34.0,All,71,13.0,507,3,1,1,311
34.0,Country 1,71,13.0,507,3,1,1,311
35.0,All,40,14.0,546,3,1,1,311
35.0,Country 1,40,14.0,546,3,1,1,311
36.0,All,40,14.0,546,3,1,1,311
36.0,Country 1,40,14.0,546,3,1,1,311
37.0,All,40,14.0,546,3,1,1,311
37.0,Country 1,40,14.0,546,3,1,1,311
38.0,All,40,14.0,546,3,1,1,311
38.0,Country 1,40,14.0,546,3,1,1,311
39.0,All,40,14.0,546,3,1,1,311
39.0,Country 1,40,14.0,546,3,1,1,311
40.0,All,40,14.0,546,3,1,1,311
40.0,Country 1,40,14.0,546,3,1,1,311
41.0,All,40,14.0,546,3,1,1,311
41.0,Country 1,40,14.0,546,3,1,1,311
42.0,All,132,11.0,429,4,1,1,411
42.0,Country 1,132,11.0,429,4,1,1,411
43.0,All,102,12.0,468,3,1,1,311
43.0,Country 1,102,12.0,468,3,1,1,311
44.0,All,102,12.0,468,3,1,1,311
44.0,Country 1,102,12.0,468,3,1,1,311
45.0,All,40,14.0,546,3,1,1,311
45.0,Country 1,40,14.0,546,3,1,1,311
46.0,All,40,14.0,546,3,1,1,311
46.0,Country 1,40,14.0,546,3,1,1,311
47.0,All,40,14.0,546,3,1,1,311
47.0,Country 1,40,14.0,546,3,1,1,311
48.0,All,132,11.0,429,4,1,1,411
48.0,Country 1,132,11.0,429,4,1,1,411
49.0,All,40,14.0,546,3,1,1,311
49.0,Country 1,40,14.0,546,3,1,1,311
50.0,All,40,14.0,546,3,1,1,311
50.0,Country 1,40,14.0,546,3,1,1,311
51.0,All,193,9.0,351,4,1,2,412
51.0,Country 1,193,9.0,351,4,1,2,412
52.0,All,40,14.0,546,3,1,1,311
52.0,Country 1,40,14.0,546,3,1,1,311
53.0,All,40,14.0,546,3,1,1,311
53.0,Country 1,40,14.0,546,3,1,1,311
54.0,All,40,14.0,546,3,1,1,311
54.0,Country 1,40,14.0,546,3,1,1,311
55.0,All,102,12.0,468,3,1,1,311
55.0,Country 1,102,12.0,468,3,1,1,311
56.0,All,163,10.0,390,4,1,2,412
56.0,Country 1,163,10.0,390,4,1,2,412
57.0,All,40,14.0,546,3,1,1,311
57.0,Country 1,40,14.0,546,3,1,1,311
58.0,All,11,15.0,585,1,1,1,111
58.0,Country 1,11,15.0,585,1,1,1,111
59.0,All,40,14.0,1246,3,1,1,311
