Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,Category
2.0,All,59,14.0,546,3,1,1,311,Almost Lost
2.0,Country 1,59,14.0,546,3,1,1,311,Almost Lost
3.0,All,48,14.0,546,3,1,1,311,Almost Lost
3.0,Country 1,48,14.0,546,3,1,1,311,Almost Lost
4.0,All,12,15.0,585,1,1,1,111,Best Customers
4.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
5.0,All,12,15.0,585,1,1,1,111,Best Customers
5.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
6.0,All,12,15.0,585,1,1,1,111,Best Customers
6.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
7.0,All,12,15.0,585,1,1,1,111,Best Customers
7.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
8.0,All,12,15.0,585,1,1,1,111,Best Customers
8.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
9.0,All,12,15.0,585,1,1,1,111,Best Customers
9.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
10.0,All,12,15.0,585,1,1,1,111,Best Customers
10.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
11.0,All,12,15.0,585,1,1,1,111,Best Customers
11.0,Country 1,12,15.0,585,1,1,1,111,Best Customers
12.0,All,12,15.0,1335,1,1,1,111,Best Customers
12.0,Country 1,12,15.0,1335,1,1,1,111,Best Customers
13.0,All,12,15.0,1335,1,1,1,111,Best Customers
13.0,Country 1,12,15.0,1335,1,1,1,111,Best Customers
14.0,All,12,15.0,1335,1,1,1,111,Best Customers
14.0,Country 1,12,15.0,1335,1,1,1,111,Best Customers
15.0,All,12,15.0,635,1,1,1,111,Best Customers
15.0,Country 1,12,15.0,635,1,1,1,111,Best Customers
16.0,All,12,15.0,1335,1,1,1,111,Best Customers
16.0,Country 1,12,15.0,1335,1,1,1,111,Best Customers
17.0,All,12,15.0,1335,1,1,1,111,Best Customers
17.0,Country 1,12,15.0,1335,1,1,1,111,Best Customers
18.0,All,12,15.0,1335,1,1,1,111,Best Customers
18.0,Country 1,12,15.0,1335,1,1,1,111,Best Customers
19.0,All,12,15.0,635,1,1,1,111,Best Customers
19.0,Country 1,12,15.0,635,1,1,1,111,Best Customers
20.0,All,12,15.0,1485,1,1,1,111,Best Customers
20.0,Country 1,12,15.0,1485,1,1,1,111,Best Customers
21.0,All,12,15.0,1485,1,1,1,111,Best Customers
21.0,Country 1,12,15.0,1485,1,1,1,111,Best Customers
22.0,All,12,15.0,645,1,1,1,111,Best Customers
22.0,Country 1,12,15.0,645,1,1,1,111,Best Customers
23.0,All,12,15.0,1485,1,1,1,111,Best Customers
23.0,Country 1,12,15.0,1485,1,1,1,111,Best Customers
24.0,All,40,14.0,546,3,1,1,311,Almost Lost
24.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
25.0,All,40,14.0,546,3,1,1,311,Almost Lost
25.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
26.0,All,40,14.0,546,3,1,1,311,Almost Lost
26.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
27.0,All,40,14.0,546,3,1,1,311,Almost Lost
27.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
28.0,All,40,14.0,546,3,1,1,311,Almost Lost
28.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
29.0,All,40,14.0,546,3,1,1,311,Almost Lost
29.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
30.0,All,40,14.0,546,3,1,1,311,Almost Lost
30.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
31.0,All,40,14.0,546,3,1,1,311,Almost Lost
31.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
32.0,All,40,14.0,546,3,1,1,311,Almost Lost
32.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
33.0,All,40,14.0,546,3,1,1,311,Almost Lost
33.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
34.0,All,71,13.0,507,3,1,1,311,Almost Lost
34.0,Country 1,71,13.0,507,3,1,1,311,Almost Lost
35.0,All,40,14.0,546,3,1,1,311,Almost Lost
35.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
36.0,All,40,14.0,546,3,1,1,311,Almost Lost
36.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
37.0,All,40,14.0,546,3,1,1,311,Almost Lost
37.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
38.0,All,40,14.0,546,3,1,1,311,Almost Lost
38.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
39.0,All,40,14.0,546,3,1,1,311,Almost Lost
39.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
40.0,All,40,14.0,546,3,1,1,311,Almost Lost
40.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
41.0,All,40,14.0,546,3,1,1,311,Almost Lost
41.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
42.0,All,132,11.0,429,4,1,1,411,Lost Customers
42.0,Country 1,132,11.0,429,4,1,1,411,Lost Customers
43.0,All,102,12.0,468,3,1,1,311,Almost Lost
43.0,Country 1,102,12.0,468,3,1,1,311,Almost Lost
44.0,All,102,12.0,468,3,1,1,311,Almost Lost
44.0,Country 1,102,12.0,468,3,1,1,311,Almost Lost
45.0,All,40,14.0,546,3,1,1,311,Almost Lost
45.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
46.0,All,40,14.0,546,3,1,1,311,Almost Lost
46.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
47.0,All,40,14.0,546,3,1,1,311,Almost Lost
47.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
48.0,All,132,11.0,429,4,1,1,411,Lost Customers
48.0,Country 1,132,11.0,429,4,1,1,411,Lost Customers
49.0,All,40,14.0,546,3,1,1,311,Almost Lost
49.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
50.0,All,40,14.0,546,3,1,1,311,Almost Lost
50.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
51.0,All,193,9.0,351,4,1,2,412,Loyal Customers
